epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,785.431,1.65491,2.58393,1.53277,0.88321,0.04585,0.27924,0.14414,1.58291,3.05241,1.4412,0.00058,0.00058,0.00058
2,2121.84,1.5125,1.92129,1.41276,0.46316,0.30606,0.301,0.15538,1.72732,2.67521,1.66123,0.00115664,0.00115664,0.00115664
3,4987.96,1.59295,1.91604,1.47496,0.51247,0.41818,0.41245,0.20499,1.78141,2.29039,1.75945,0.00170951,0.00170951,0.00170951
4,5269.84,1.64582,1.90178,1.4851,0.55661,0.33939,0.38118,0.17105,1.86839,2.26241,1.8245,0.0018812,0.0018812,0.0018812
5,5478.34,1.59682,1.72275,1.46561,0.50877,0.45509,0.4726,0.24677,1.69817,2.27056,1.70948,0.0018416,0.0018416,0.0018416
6,5732.96,1.53266,1.62687,1.42852,0.54534,0.5125,0.51369,0.2478,1.66794,2.2842,1.6624,0.001802,0.001802,0.001802
7,5924.6,1.48778,1.60673,1.41354,0.51142,0.46061,0.47105,0.24039,1.67645,2.97342,1.72032,0.0017624,0.0017624,0.0017624
8,6125.92,1.5369,1.55616,1.41496,0.56241,0.54135,0.54657,0.27352,1.68831,1.99463,1.63127,0.0017228,0.0017228,0.0017228
9,6324.27,1.47906,1.47956,1.40588,0.61184,0.55408,0.57442,0.30085,1.62636,1.78383,1.59462,0.0016832,0.0016832,0.0016832
10,6521.15,1.45277,1.45484,1.38047,0.65325,0.43939,0.51515,0.27765,1.66115,1.76189,1.60168,0.0016436,0.0016436,0.0016436
11,7372.06,1.3894,1.71712,1.30993,0.64888,0.51212,0.59876,0.32395,1.61513,1.55753,1.50962,0.001604,0.001604,0.001604
12,9109.49,1.43269,1.38545,1.34444,0.60287,0.53636,0.57876,0.29463,1.65003,1.86607,1.55724,0.0015644,0.0015644,0.0015644
13,9690.22,1.40983,1.37857,1.34684,0.70594,0.60606,0.66667,0.38845,1.48582,1.39948,1.38195,0.0015248,0.0015248,0.0015248
14,14431.6,1.36931,1.29843,1.32224,0.69839,0.5697,0.65537,0.37622,1.49558,1.4403,1.43084,0.0014852,0.0014852,0.0014852
15,14675.4,1.34168,1.20056,1.27886,0.72235,0.58788,0.6653,0.35733,1.57744,1.48146,1.44055,0.0014456,0.0014456,0.0014456
16,14879.6,1.37578,1.21339,1.29911,0.68786,0.53636,0.64741,0.36755,1.49827,1.42191,1.43597,0.001406,0.001406,0.001406
17,15096.8,1.41641,1.2699,1.32468,0.69995,0.63939,0.68866,0.3933,1.47587,1.38278,1.38715,0.0013664,0.0013664,0.0013664
18,15319,1.32403,1.20525,1.27114,0.78884,0.59997,0.71826,0.42223,1.42754,1.27458,1.36992,0.0013268,0.0013268,0.0013268
19,15587.5,1.36964,1.20981,1.28129,0.70605,0.59394,0.68494,0.42117,1.41132,1.29538,1.34027,0.0012872,0.0012872,0.0012872
20,15803.2,1.31983,1.16112,1.27352,0.7416,0.62727,0.69859,0.40787,1.4185,1.52387,1.36005,0.0012476,0.0012476,0.0012476
21,16026.9,1.26261,1.15445,1.25844,0.72837,0.60941,0.7067,0.43095,1.40185,1.2644,1.36063,0.001208,0.001208,0.001208
22,16260.3,1.2458,1.05689,1.23694,0.77222,0.6,0.69861,0.4248,1.4179,1.27753,1.39256,0.0011684,0.0011684,0.0011684
23,16469,1.28917,1.10594,1.26724,0.77399,0.66667,0.72108,0.41955,1.40892,1.21988,1.37831,0.0011288,0.0011288,0.0011288
24,16683.5,1.24881,1.07728,1.23925,0.71283,0.63636,0.68878,0.40101,1.47238,1.30513,1.41617,0.0010892,0.0010892,0.0010892
